Table 1
Id,name,ThumbnailImage,species_id,type,generation_id,type__001,type__002,description,generation
15,Beedrill,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,15,"bug,poison",1,bug,poison,"Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm.",1
16,Pidgey,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png,16,"normal,flying",1,normal,flying,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings.",1
17,Pidgeotto,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png,17,"normal,flying",1,normal,flying,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws.",1
18,Pidgeot,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,18,"normal,flying",1,normal,flying,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon.",1
19,Rattata,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png,19,normal,1,normal,,"Rattata is cautious in the extreme. Even while it is asleep,
it constantly listens by moving its ears around. It is not
picky about where it lives—it will make its nest anywhere.",1
20,Raticate,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png,20,normal,1,normal,,"Raticate’s sturdy fangs grow steadily. To keep them
ground down, it gnaws on rocks and logs. It may
even chew on the walls of houses.",1
21,Spearow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png,21,"normal,flying",1,normal,flying,"Spearow has a very loud cry that can be heard over
half a mile away. If its high, keening cry is heard echoing all
around, it is a sign that they are warning each other of danger.",1
22,Fearow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png,22,"normal,flying",1,normal,flying,"Fearow is recognized by its long neck and elongated beak.
They are conveniently shaped for catching prey in soil or
water. It deftly moves its long and skinny beak to pluck prey.",1
23,Ekans,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png,23,poison,1,poison,,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head.",1
24,Arbok,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png,24,poison,1,poison,,"This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible.",1
25,Pikachu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png,25,electric,1,electric,,"This Pokémon has electricity-storing pouches on its cheeks.
These appear to become electrically charged during the night
while Pikachu sleeps. It occasionally discharges electricity
when it is dozy after waking up.",1
26,Raichu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png,26,electric,1,electric,,"This Pokémon exudes a weak electrical charge from all over
its body that makes it take on a slight glow in darkness.
Raichu plants its tail in the ground to discharge electricity.",1
27,Sandshrew,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png,27,ground,1,ground,,"Sandshrew has a very dry hide that is extremely tough.
The Pokémon can roll into a ball that repels any attack.
At night, it burrows into the desert sand to sleep.",1
28,Sandslash,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png,28,ground,1,ground,,"Sandslash can roll up its body as if it were a ball covered
with large spikes. In battle, this Pokémon will try to make
the foe flinch by jabbing it with its spines. It then leaps at
the stunned foe to tear wildly with its sharp claws.",1
29,Nidoran♀,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png,29,poison,1,poison,,"Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn.",1
30,Nidorina,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png,30,poison,1,poison,,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others.",1
31,Nidoqueen,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png,31,"poison,ground",1,poison,ground,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young.",1
32,Nidoran♂,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png,32,poison,1,poison,,"Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice.",1
33,Nidorino,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png,33,poison,1,poison,,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might.",1
34,Nidoking,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png,34,"poison,ground",1,poison,ground,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it.",1
35,Clefairy,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png,35,fairy,1,fairy,,"On every night of a full moon, groups of this Pokémon
come out to play. When dawn arrives, the tired Clefairy
return to their quiet mountain retreats and go to sleep
nestled up against each other.",1
36,Clefable,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png,36,fairy,1,fairy,,"Clefable moves by skipping lightly as if it were flying using
its wings. Its bouncy step lets it even walk on water.
It is known to take strolls on lakes on quiet, moonlit nights.",1
37,Vulpix,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png,37,fire,1,fire,,"Inside Vulpix’s body burns a flame that never goes out.
During the daytime, when the temperatures rise, this
Pokémon releases flames from its mouth to prevent its
body from growing too hot.",1
38,Ninetales,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png,38,fire,1,fire,,"Legend has it that Ninetales came into being when
nine wizards possessing sacred powers merged into one.
This Pokémon is highly intelligent—it can understand
human speech.",1
39,Jigglypuff,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png,39,"normal,fairy",1,normal,fairy,"When this Pokémon sings, it never pauses to breathe.
If it is in a battle against an opponent that does not easily
fall asleep, Jigglypuff cannot breathe, endangering its life.",1
40,Wigglytuff,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png,40,"normal,fairy",1,normal,fairy,"Wigglytuff’s body is very flexible. By inhaling deeply,
this Pokémon can inflate itself seemingly without end.
Once inflated, Wigglytuff bounces along lightly like a balloon.",1
41,Zubat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png,41,"poison,flying",1,poison,flying,"Zubat avoids sunlight because exposure causes it to become
unhealthy. During the daytime, it stays in caves or under
the eaves of old houses, sleeping while hanging upside down.",1
42,Golbat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png,42,"poison,flying",1,poison,flying,"Golbat bites down on prey with its four fangs and drinks
the victim’s blood. It becomes active on inky dark
moonless nights, flying around to attack people and Pokémon.",1
43,Oddish,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png,43,"grass,poison",1,grass,poison,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees.",1
44,Gloom,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png,44,"grass,poison",1,grass,poison,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey.",1
45,Vileplume,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png,45,"grass,poison",1,grass,poison,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them.",1
46,Paras,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png,46,"bug,grass",1,bug,grass,"Paras has parasitic mushrooms growing on its back called
tochukaso. They grow large by drawing nutrients from this
Bug Pokémon host. They are highly valued as a medicine
for extending life.",1
47,Parasect,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png,47,"bug,grass",1,bug,grass,"Parasect is known to infest large trees en masse and drain
nutrients from the lower trunk and roots. When an infested
tree dies, they move onto another tree all at once.",1
48,Venonat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png,48,"bug,poison",1,bug,poison,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey.",1
49,Venomoth,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png,49,"bug,poison",1,bug,poison,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness.",1
50,Diglett,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png,50,ground,1,ground,,"Diglett are raised in most farms. The reason is simple—
wherever this Pokémon burrows, the soil is left perfectly tilled
for planting crops. This soil is made ideal for growing
delicious vegetables.",1
51,Dugtrio,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png,51,ground,1,ground,,"Dugtrio are actually triplets that emerged from one body.
As a result, each triplet thinks exactly like the other two
triplets. They work cooperatively to burrow endlessly.",1
52,Meowth,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png,52,normal,1,normal,,"Meowth withdraws its sharp claws into its paws to slinkily sneak
about without making any incriminating footsteps. For some
reason, this Pokémon loves shiny coins that glitter with light.",1
53,Persian,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png,53,normal,1,normal,,"Persian has six bold whiskers that give it a look of toughness.
The whiskers sense air movements to determine what is in the
Pokémon’s surrounding vicinity. It becomes docile if grabbed
by the whiskers.",1
54,Psyduck,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png,54,water,1,water,,"If it uses its mysterious power, Psyduck can’t remember
having done so. It apparently can’t form a memory of such
an event because it goes into an altered state that is much
like deep sleep.",1
55,Golduck,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png,55,water,1,water,,"Golduck is the fastest swimmer among all Pokémon. It swims
effortlessly, even in a rough, stormy sea. It sometimes rescues
people from wrecked ships floundering in high seas.",1
56,Mankey,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png,56,fighting,1,fighting,,"When Mankey starts shaking and its nasal breathing turns
rough, it’s a sure sign that it is becoming angry. However,
because it goes into a towering rage almost instantly,
it is impossible for anyone to flee its wrath.",1
57,Primeape,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png,57,fighting,1,fighting,,"When Primeape becomes furious, its blood circulation
is boosted. In turn, its muscles are made even stronger.
However, it also becomes much less intelligent at the
same time.",1
58,Growlithe,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png,58,fire,1,fire,,"Growlithe has a superb sense of smell. Once it smells anything,
this Pokémon won’t forget the scent, no matter what. It uses
its advanced olfactory sense to determine the emotions of
other living things.",1
59,Arcanine,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png,59,fire,1,fire,,"Arcanine is known for its high speed. It is said to be capable
of running over 6,200 miles in a single day and night. The
fire that blazes wildly within this Pokémon’s body is its source
of power.",1
60,Poliwag,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png,60,water,1,water,,"Poliwag has a very thin skin. It is possible to see the
Pokémon’s spiral innards right through the skin. Despite its
thinness, however, the skin is also very flexible. Even sharp
fangs bounce right off it.",1
61,Poliwhirl,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png,61,water,1,water,,"The surface of Poliwhirl’s body is always wet and slick with
a slimy fluid. Because of this slippery covering, it can easily
slip and slide out of the clutches of any enemy in battle.",1
62,Poliwrath,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png,62,"water,fighting",1,water,fighting,"Poliwrath’s highly developed, brawny muscles never grow
fatigued, however much it exercises. It is so tirelessly strong,
this Pokémon can swim back and forth across the ocean
without effort.",1
63,Abra,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png,63,psychic,1,psychic,,"Abra needs to sleep for eighteen hours a day. If it doesn’t,
this Pokémon loses its ability to use telekinetic powers. If it is
attacked, Abra escapes using Teleport while it is still sleeping.",1
64,Kadabra,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png,64,psychic,1,psychic,,"Kadabra holds a silver spoon in its hand. The spoon is used
to amplify the alpha waves in its brain. Without the spoon, the
Pokémon is said to be limited to half the usual amount of its
telekinetic powers.",1
65,Alakazam,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png,65,psychic,1,psychic,,"Alakazam’s brain continually grows, infinitely multiplying
brain cells. This amazing brain gives this Pokémon an
astoundingly high IQ of 5,000. It has a thorough memory
of everything that has occurred in the world.",1
66,Machop,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png,66,fighting,1,fighting,,"Machop exercises by hefting around a Graveler as if it were
a barbell. There are some Machop that travel the world in a
quest to master all kinds of martial arts.",1
67,Machoke,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png,67,fighting,1,fighting,,"Machoke undertakes bodybuilding every day even as
it helps people with tough, physically demanding labor.
On its days off, this Pokémon heads to the fields and
mountains to exercise and train.",1
68,Machamp,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png,68,fighting,1,fighting,,"Machamp is known as the Pokémon that has mastered
every kind of martial arts. If it grabs hold of the foe with its
four arms, the battle is all but over. The hapless foe is thrown
far over the horizon.",1
69,Bellsprout,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png,69,"grass,poison",1,grass,poison,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron.",1
70,Weepinbell,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png,70,"grass,poison",1,grass,poison,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground.",1
71,Victreebel,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png,71,"grass,poison",1,grass,poison,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole.",1
72,Tentacool,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png,72,"water,poison",1,water,poison,"Tentacool absorbs sunlight and refracts it using water inside
its body to convert it into beam energy. This Pokémon shoots
beams from the small round organ above its eyes.",1
73,Tentacruel,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png,73,"water,poison",1,water,poison,"Tentacruel has tentacles that can be freely elongated
and shortened at will. It ensnares prey with its tentacles
and weakens the prey by dosing it with a harsh toxin.
It can catch up to 80 prey at the same time.",1
74,Geodude,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png,74,"rock,ground",1,rock,ground,"When Geodude sleeps deeply, it buries itself halfway into the
ground. It will not awaken even if hikers step on it unwittingly.
In the morning, this Pokémon rolls downhill in search of food.",1
75,Graveler,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png,75,"rock,ground",1,rock,ground,"Rocks are Graveler’s favorite food. This Pokémon will climb a
mountain from the base to the summit, crunchingly feasting on
rocks all the while. Upon reaching the peak, it rolls back down
to the bottom.",1
76,Golem,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png,76,"rock,ground",1,rock,ground,"Golem is known for rolling down from mountains. To prevent
them from rolling into the homes of people downhill, grooves
have been dug into the sides of mountains to serve as
guideways for diverting this Pokémon’s course.",1
77,Ponyta,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png,77,fire,1,fire,,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent.",1
78,Rapidash,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png,78,fire,1,fire,,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph.",1
79,Slowpoke,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png,79,"water,psychic",1,water,psychic,"Slowpoke uses its tail to catch prey by dipping it in water
at the side of a river. However, this Pokémon often forgets
what it’s doing and often spends entire days just loafing
at water’s edge.",1
80,Slowbro,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png,80,"water,psychic",1,water,psychic,"Slowbro’s tail has a Shellder firmly attached with a bite.
As a result, the tail can’t be used for fishing anymore. This
causes Slowbro to grudgingly swim and catch prey instead.",1
81,Magnemite,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png,81,"electric,steel",1,electric,steel,"Magnemite floats in the air by emitting electromagnetic waves
from the units at its sides. These waves block gravity. This
Pokémon becomes incapable of flight if its internal electrical
supply is depleted.",1
82,Magneton,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png,82,"electric,steel",1,electric,steel,"Magneton emits a powerful magnetic force that is fatal to
electronics and precision instruments. Because of this, it is
said that some towns warn people to keep this Pokémon
inside a Poké Ball.",1
83,Farfetch'd,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png,83,"normal,flying",1,normal,flying,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks.",1
84,Doduo,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png,84,"normal,flying",1,normal,flying,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains.",1
85,Dodrio,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png,85,"normal,flying",1,normal,flying,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest.",1
86,Seel,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png,86,water,1,water,,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head.",1
87,Dewgong,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png,87,"water,ice",1,water,ice,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokémon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago.",1
88,Grimer,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png,88,poison,1,poison,,"Grimer emerged from the sludge that settled on a polluted
seabed. This Pokémon loves anything filthy. It constantly
leaks a horribly germ-infested fluid from all over its body.",1
89,Muk,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png,89,poison,1,poison,,"This Pokémon’s favorite food is anything that is repugnantly
filthy. In dirty towns where people think nothing of throwing
away litter on the streets, Muk are certain to gather.",1
90,Shellder,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png,90,water,1,water,,"At night, this Pokémon uses its broad tongue to burrow a hole
in the seafloor sand and then sleep in it. While it is sleeping,
Shellder closes its shell, but leaves its tongue hanging out.",1
91,Cloyster,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png,91,"water,ice",1,water,ice,"Cloyster is capable of swimming in the sea. It does so by
swallowing water, then jetting it out toward the rear. This
Pokémon shoots spikes from its shell using the same system.",1
92,Gastly,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png,92,"ghost,poison",1,ghost,poison,"Gastly is largely composed of gaseous matter. When exposed
to a strong wind, the gaseous body quickly dwindles away.
Groups of this Pokémon cluster under the eaves of houses to
escape the ravages of wind.",1
93,Haunter,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png,93,"ghost,poison",1,ghost,poison,"Haunter is a dangerous Pokémon. If one beckons you while
floating in darkness, you must never approach it. This Pokémon
will try to lick you with its tongue and steal your life away.",1
94,Gengar,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png,94,"ghost,poison",1,ghost,poison,"Sometimes, on a dark night, your shadow thrown by a
streetlight will suddenly and startlingly overtake you.
It is actually a Gengar running past you, pretending to be
your shadow.",1
95,Onix,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png,95,"rock,ground",1,rock,ground,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother.",1
96,Drowzee,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png,96,psychic,1,psychic,,"If your nose becomes itchy while you are sleeping, it’s a sure
sign that one of these Pokémon is standing above your pillow
and trying to eat your dream through your nostrils.",1
97,Hypno,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png,97,psychic,1,psychic,,"Hypno holds a pendulum in its hand. The arcing movement and
glitter of the pendulum lull the foe into a deep state of
hypnosis. While this Pokémon searches for prey, it polishes
the pendulum.",1
98,Krabby,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png,98,water,1,water,,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory.",1
99,Kingler,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png,99,water,1,water,,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires.",1
100,Voltorb,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png,100,electric,1,electric,,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy.",1
101,Electrode,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png,101,electric,1,electric,,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated.",1
102,Exeggcute,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png,102,"grass,psychic",1,grass,psychic,"This Pokémon consists of six eggs that form a closely knit
cluster. The six eggs attract each other and spin around.
When cracks increasingly appear on the eggs, Exeggcute is
close to evolution.",1
103,Exeggutor,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png,103,"grass,psychic",1,grass,psychic,"Exeggutor originally came from the tropics. Its heads
steadily grow larger from exposure to strong sunlight. It is
said that when the heads fall off, they group together to
form Exeggcute.",1
104,Cubone,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png,104,ground,1,ground,,"Cubone pines for the mother it will never see again. Seeing a
likeness of its mother in the full moon, it cries. The stains on
the skull the Pokémon wears are made by the tears it sheds.",1
105,Marowak,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png,105,ground,1,ground,,"Marowak is the evolved form of a Cubone that has overcome
its sadness at the loss of its mother and grown tough. This
Pokémon’s tempered and hardened spirit is not easily broken.",1
106,Hitmonlee,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png,106,fighting,1,fighting,,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue.",1
107,Hitmonchan,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png,107,fighting,1,fighting,,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity.",1
108,Lickitung,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png,108,normal,1,normal,,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things.",1
109,Koffing,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png,109,poison,1,poison,,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon.",1
110,Weezing,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png,110,poison,1,poison,,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid.",1
111,Rhyhorn,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png,111,"ground,rock",1,ground,rock,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something.",1
